Ad status,Ad type,Final URL,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Headline,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Long headline,Description,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Description 5,Path 1,Path 2,Auto-applied ad suggestion,Image ID,Square image ID,Logo ID,Landscape logo ID,Business name,Call to action text,Video ID,Accent color,Main color,Allow flexible color,Ad format preference,Promotion text,Price prefix,Beacon URLs,Ad name,ad.display_url,Video,Call to action headline,Campaign,Ad group,Status,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conversions,Cost / conv.,Conv. rate
Paused,Responsive search ad,https://www.optisigns.com/?utm_source=google&utm_medium=cpc&utm_campaign=digitalsignagekw,, --, --,, --,OptiSigns Digital Signage, --,Turn Any TV Into Digital Sign, --,with Fire TV + OptiSigns, --,Cost Effective, --,100% Satisfaction Guarantee, --,Volume & Non-profit discount, --,Easy set up, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Support Fire TV, Android, image, video, social media, playlist, schedule and more", --,Set up & remotely manage your TV Screens, --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Internal Communications,Business model,Campaign paused,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Paused,Responsive search ad,https://www.optisigns.com/?utm_source=google&utm_medium=cpc&utm_campaign=digitalsignagekw,, --, --,, --,OptiSigns Digital Signage, --,Turn Any TV Into Digital Sign, --,with Fire TV + OptiSigns, --,Cost Effective, --,100% Satisfaction Guarantee, --,Volume & Non-profit discount, --,Easy set up, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Support Fire TV, Android, image, video, social media, playlist, schedule and more", --,Set up & remotely manage your TV Screens, --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Restaurant & Bar,Display,Paused,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Enabled,Expanded text ad,https://www.optisigns.com/?utm_source=google&utm_medium=cpc&utm_campaign=screencloud_target_original,, --, --,, --,$10/screen/month, --,OptiSigns Digital Signage, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Manage your screens for $10/screen/month., --, --,"Support Fire TV, Android, image, video, social media, playlist, schedule and more", --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Screencloud Original Targeting,screencloud direct search term,Approved,821,16,1.95%,USD,8.40,134.33,0.00,0.00,0.00%
Enabled,Expanded text ad,https://www.optisigns.com/offer-the-best-dining-experience?utm_source=google&utm_medium=cpc&utm_campaign=restaurantbar,, --, --,, --,Free Menu Templates, --,Optisigns Digital Signage, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Display your establishment's menu with ease for just $10/screen/month., --, --,Try Optisigns for free today!, --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Restaurant & Bar,Menu Solutions,Approved,145,4,2.76%,USD,6.26,25.03,0.00,0.00,0.00%
Paused,Responsive search ad,https://www.optisigns.com/?utm_source=google&utm_medium=cpc&utm_campaign=digitalsignagekw,, --, --,, --,OptiSigns Digital Signage, --,Turn Any TV Into Digital Sign, --,with Fire TV + OptiSigns, --,Cost Effective, --,100% Satisfaction Guarantee, --,Volume & Non-profit discount, --,Easy set up, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Support Fire TV, Android, image, video, social media, playlist, schedule and more", --,Set up & remotely manage your TV Screens, --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,External Communications,Marketing,Campaign paused,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Enabled,Video ad,https://www.optisigns.com/?utm_source=google&utm_medium=youtube&utm_campaign=youtube,, --, --,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,No, --, --, --, --, --,Know More, --, --, --, --, --, --, --, --,Ad1, --,http://www.youtube.com/watch?v=_vEGP0gq63s,OptiSigns,YouTube,All Users,Campaign paused,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Enabled,Expanded text ad,https://www.optisigns.com/app-instagram?utm_source=google&utm_medium=cpc&utm_campaign=instagram,, --, --,, --,Instagram Wall, --,On big screen TV, --,Beautiful Visualization, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Engage your audience with Instagram wall on big screen TV., --, --,Leverage your social media contents to create positive impressions., --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Keyword Campaign 1,Ad group - Product Feature - Instagram Wall,Campaign paused,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Enabled,Expanded text ad,https://optisigns.com,, --, --,, --,Display Apps On Any TV, --,Digital Signage With 15+ Apps, --,$10/Month Per Screen, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Turn Any TV Screen Into A Digital Sign and Manage Remotely From A Central Dashboard., --, --,Half the Price of Other Competitors., --, --, --, --, --, --,digitalsignage,optisigns,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,June - CTA Test,Integrations,Campaign ended,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Paused,Responsive search ad,https://optisigns.com,, --, --,, --,Digital Signage,3,OptiSigns,2,Display Photos On Your TV, --,Display Videos On Your TV, --,Display Promotions On Your TV, --,Display Photos On Any Screen, --,Display Videos On Any Screen, --,Display Promotions On Screen, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Turn any TV Screen Into a Digital Sign, --,Manage Remotely From A Central Dashboard, --,Try For Free, --,Simple Solution for Digital Signage, --, --,digitalsignage,freetrial,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,June - CTA Test,Static Files Management,Campaign ended,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Enabled,Expanded text ad,https://www.optisigns.com/offer-the-best-dining-experience?utm_source=google&utm_medium=cpc&utm_campaign=restaurantbar,, --, --,, --,Restaurant Digital Signage, --,Optisigns, --,$10/screen/month, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Create the perfect ambiance by displaying unique content on your restaurant screens., --, --,"Play video, audio and image files for just $10/screen/month. Free 30-day trial.", --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Restaurant & Bar,Display,Approved,66,0,0.00%,USD, --,0.00,0.00,0.00,0.00%
Enabled,Responsive search ad,https://www.optisigns.com/visibility-and-brand-presence?utm_source=google&utm_medium=cpc&utm_campaign=external_communications,,https://www.optisigns.com/visibility-and-brand-presence?utm_source=google&utm_medium=cpc&utm_campaign=external_communications, --,, --,OptiSigns Digital Signage,1,Capture Customer Attention,2,Unique Advertising Approach,2,Wow Your Customers,2,Free Trial,3,Easy Setup,3,Try For Free,3, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Up the ante on your shop's advertising methods with digital signage.,1,Capture the attention of customers with vibrant digital store signs.,1,Try Optisigns for free today!,2,30-day free trial,2, --,marketing,advertising,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,External Communications,Marketing,Campaign paused,94,0,0.00%,USD, --,0.00,0.00,0.00,0.00%
Enabled,Responsive search ad,https://optisigns.com,, --, --,, --,Digital Signage,3,OptiSigns,2,Display Photos On Your TV, --,Display Videos On Your TV, --,Display Promotions On Your TV, --,Display Photos On Any Screen, --,Display Videos On Any Screen, --,Display Promotions On Screen, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Turn any TV Screen Into a Digital Sign, --,Manage Remotely From A Central Dashboard, --,Try For Free, --,Simple Solution for Digital Signage, --, --,digitalsignage,freetrial,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,June - Headlines Test,Static Files Management,Campaign paused,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Enabled,Responsive search ad,https://www.optisigns.com/communication-information?utm_source=google&utm_medium=cpc&utm_campaign=internal_communications,,https://www.optisigns.com/communication-information?utm_source=google&utm_medium=cpc&utm_campaign=internal_communications, --,, --,OptiSigns Digital Signage,1,Engage Your Employees,2,Improve Info Dissemination,2,Better Business Communication,2,Free Trial,3,Easy Setup,3,Try For Free,3, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Improve your company's information dissemination with digital signage,1,Keep your employees updated with important company information with digital signage,1,Try Optisigns for free today!,2,30-day free trial,2, --,corporate,communications,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Internal Communications,Business model,Campaign paused,55,0,0.00%,USD, --,0.00,0.00,0.00,0.00%
Paused,Responsive search ad,https://www.optisigns.com/?utm_source=google&utm_medium=cpc&utm_campaign=digitalsignagekw,, --, --,, --,OptiSigns Digital Signage, --,Turn Any TV Into Digital Sign, --,with Fire TV + OptiSigns, --,Cost Effective, --,100% Satisfaction Guarantee, --,Volume & Non-profit discount, --,Easy set up, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Support Fire TV, Android, image, video, social media, playlist, schedule and more", --,Set up & remotely manage your TV Screens, --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Restaurant & Bar,Menu Solutions,Paused,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Enabled,Expanded text ad,https://optisigns.com,, --, --,, --,Display Apps On Any TV, --,Digital Signage With 15+ Apps., --,Optisigns, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Turn Any TV Screen Into A Digital Sign and Manage Remotely From A Central Dashboard., --, --,Half the Price of Other Competitors., --, --, --, --, --, --,digitalsignage,optisigns,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,June - Headlines Test,Integrations,Campaign paused,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Enabled,Expanded text ad,https://www.optisigns.com/?utm_source=google&utm_medium=cpc&utm_campaign=digitalsignagekw,, --, --,, --,Turn Any TV Into Digital Sign, --,Cost Effective, --,with Fire TV + OptiSigns, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Set up & remotely manage your TV Screens, --, --,"Support Fire TV, Android, image, video, social media, playlist, schedule and more", --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Keyword Campaign 1,Ad group - Product Feature - Digital Signage,Campaign paused,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Paused,Responsive search ad,https://optisigns.com,, --, --,, --,Optisigns,3,Digital Signage Software,1,Display Social Media On Screen, --,Display Weather On Any Screen, --,Works With 15+ Integrations, --,"Cast Social Media, Any Screen", --,Display Reviews On Any Screen, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Turn Any TV Screen Into A Digital Sign And Manage Remotely From a Central Dashboard., --,Half of the Price of Competitors., --, --, --, --, --, --,digitalsignage,optisigns,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,June - CTA Test,Integrations,Campaign ended,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Paused,Responsive search ad,https://www.optisigns.com/?utm_source=google&utm_medium=cpc&utm_campaign=digitalsignagekw,, --, --,, --,OptiSigns Digital Signage, --,Turn Any TV Into Digital Sign, --,with Fire TV + OptiSigns, --,Cost Effective, --,100% Satisfaction Guarantee, --,Volume & Non-profit discount, --,Easy set up, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Support Fire TV, Android, image, video, social media, playlist, schedule and more", --,Set up & remotely manage your TV Screens, --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Keyword Campaign 1,Ad group - Product Feature - Digital Signage,Campaign paused,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Enabled,Responsive search ad,https://optisigns.com,, --, --,, --,Optisigns,3,Digital Signage Software,1,Display Social Media On Screen, --,Display Weather On Any Screen, --,Works With 15+ Integrations, --,"Cast Social Media, Any Screen", --,Display Reviews On Any Screen, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Turn Any TV Screen Into A Digital Sign And Manage Remotely From a Central Dashboard., --,Half of the Price of Competitors., --, --, --, --, --, --,digitalsignage,optisigns,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,June - Headlines Test,Integrations,Campaign paused,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Enabled,Expanded text ad,https://optisigns.com,, --, --,, --,Digital Signage for Any Screen, --,Display Photos and Videos, --,No Credit Card Required, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Turn Any TV Screen Into a Digital Sign and Manage Remotely From a Central Dashboard., --, --,Simple Digital Signage Solution At Half of the Price Of Competitors., --, --, --, --, --, --,digitalsignage,freetrial,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,June - CTA Test,Food & Bev,Campaign ended,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Paused,Responsive search ad,https://www.optisigns.com/offer-the-best-dining-experience?utm_source=google&utm_medium=cpc&utm_campaign=restaurantbar,,https://www.optisigns.com/offer-the-best-dining-experience?utm_source=google&utm_medium=cpc&utm_campaign=restaurantbar, --,, --,OptiSigns Digital Signage,1,Restaurant Digital Signage,2,Free Menu Templates,3,Sign Up Online,3,Free Trial,3,Easy Setup,3,Try For Free,3, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Give your patrons the best dining experience with digital signage.,1,For a restaurant that offers both wonderful cuisine and amazing ambiance.,1,Try Optisigns for free today!,2,30-day free trial,2, --,restaurant_bar, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Restaurant & Bar,Menu Solutions,Paused,601,6,1.00%,USD,2.77,16.60,0.00,0.00,0.00%
Enabled,Expanded text ad,https://optisigns.com,, --, --,, --,Display Apps On Any TV, --,Digital Signage With 15+ Apps., --,$10/month Per Screen, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Turn Any TV Screen Into A Digital Sign and Manage Remotely From A Central Dashboard., --, --,Half the Price of Other Competitors., --, --, --, --, --, --,digitalsignage,optisigns,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,June - CTA Test,Static Files Management,Campaign ended,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Paused,Responsive search ad,https://www.optisigns.com/offer-the-best-dining-experience?utm_source=google&utm_medium=cpc&utm_campaign=bar,,https://www.optisigns.com/offer-the-best-dining-experience?utm_source=google&utm_medium=cpc&utm_campaign=bar, --,, --,OptiSigns Digital Signage,1,Bar Digital Signage,2,Free Menu Templates,3,Sign Up Online,3,Free Trial,3,Easy Setup,3,Try For Free,3, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Turn your bar or nightclub into the hippest spot in town with digital signage.,1,Pair unique drinks with amazing ambiance and vibrant visuals.,1,Try Optisigns for free today!,2,30-day free trial,2, --,bar, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Restaurant & Bar,Display,Paused,"1,406",1,0.07%,USD,3.00,3.00,0.00,0.00,0.00%
Enabled,Expanded text ad,https://www.optisigns.com/?utm_source=google&utm_medium=cpc&utm_campaign=screencloud_target_original,, --, --,, --,$10/screen/month, --,OptiSigns Digital Signage, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Enjoy our full range of features at half the price of other signage software in the market, --, --,"Stream audio & video, create playlists & schedule content for just $10/screen/month.", --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Competitor Landing Pages,Screencloud | Homepage,Approved,553,15,2.71%,USD,6.74,101.11,0.00,0.00,0.00%
Enabled,Expanded text ad,https://optisigns.com,, --, --,, --,Digital Signage in Restaurants, --,Display Photos and Videos, --,Free Trial With Optisigns, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Turn Any TV Screen Into a Digital Sign and Manage Remotely From a Central Dashboard., --, --,Simple Digital Signage Solution At Half of the Price Of Competitors., --, --, --, --, --, --,digitalsignage,freetrial,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,June - CTA Test,Food & Bev,Campaign ended,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Enabled,Responsive display ad,https://www.optisigns.com/?utm_source=google&utm_medium=banner&utm_campaign=google-display-remarketing-digital+signage,, --, --,, --,$10/screen/month Digital Signs, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,$10/screen/month OptiSigns Digital Signage, --,"Support Fire TV, Android, image, video, social media, playlist, schedule and more", --, --, --, --, --, --, --, --, --, --,No,575593802,575593805,575593901, --,OptiSigns, --,1131660475, --, --,true,All formats, --, --, --, --, --, --, --,Re-Marketing,All Users,Approved,"5,460",30,0.55%,USD,0.30,9.09,0.00,0.00,0.00%
Enabled,Expanded text ad,https://optisigns.com,, --, --,, --,Digital Signage for Any Screen, --,Display Photos and Videos, --,No Credit Card Required, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Turn Any TV Screen Into a Digital Sign and Manage Remotely From a Central Dashboard., --, --,Simple Digital Signage Solution At Half of the Price Of Competitors., --, --, --, --, --, --,digitalsignage,freetrial,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,June - CTA Test,Static Files Management,Campaign ended,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Enabled,Expanded text ad,https://optisigns.com,, --, --,, --,Display Apps On Any TV, --,Digital Signage With 15+ Apps., --,Free Trial, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Turn Any TV Screen Into A Digital Sign and Manage Remotely From A Central Dashboard., --, --,Half the Price of Other Competitors., --, --, --, --, --, --,digitalsignage,optisigns,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,June - CTA Test,Integrations,Campaign ended,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Enabled,Expanded text ad,https://www.optisigns.com/offer-the-best-dining-experience?utm_source=google&utm_medium=cpc&utm_campaign=restaurantbar,, --, --,, --,Stunning Digital Menu Screens, --,Optisigns Digital Signage, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Display your establishment's menu with ease for just $10/screen/month., --, --,Turn your screens into stunning electronic menu displays today!, --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Restaurant & Bar,Menu Solutions,Approved,183,22,12.02%,USD,4.44,97.62,0.00,0.00,0.00%
Enabled,Expanded text ad,https://www.optisigns.com/?utm_source=google&utm_medium=cpc&utm_campaign=digitalsignagekw,, --, --,, --,$10/screen/month, --,OptiSigns Digital Signage, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Set up & remotely manage your screens for $10/screen/month., --, --,"Support Fire TV, Android, image, video, social media, playlist, schedule and more", --, --, --, --, --, --, --, --,No, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Keyword Campaign 1,Ad group - Product Feature - Digital Signage,Campaign paused,0,0, --,USD, --,0.00,0.00,0.00,0.00%
Total: All but removed ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,787",136,1.26%,USD,4.49,611.12,0.00,0.00,0.00%
